inci_name,display_name,is_colorant
"1,2-Hexanediol",１，２－ヘキサンジオール,0
Acacia Senegal Gum,アラビアゴム,0
Achillea Millefolium Extract,セイヨウノコギリソウエキス,0
Acrylates Copolymer,アクリレーツコポリマー,0
Acrylates/Ammonium Methacrylate Copolymer,（アクリレーツ／メタクリル酸アンモニウム）コポリマー,0
Alcohol,エタノール,0
Algae Extract,アルゲエキス,0
Algin,アルギン酸Ｎａ,0
Aloe Barbadensis Leaf Extract,アロエベラ葉エキス,0
Aloe Barbadensis Leaf Juice,アロエベラ液汁,0
Alumina,アルミナ,0
Aluminum,Ａｌ,0
Aluminum Hydroxide,水酸化Ａｌ,0
Angelica Acutiloba Root Extract,トウキ根エキス,0
Argan Oil,アルガニアスピノサ核油,0
Argania Spinosa Kernel Oil,アルガニアスピノサ核油,0
Arginine,アルギニン,0
Arnica Montana Flower Extract,アルニカ花エキス,0
Ascorbic Acid,アスコルビン酸,0
Ascorbyl Palmitate,パルミチン酸アスコルビル,0
Ascorbyl Tetraisopalmitate,テトラヘキシルデカン酸アスコルビル,0
Avocado Oil,アボカド油,0
Barium Sulfate,硫酸Ｂａ,0
Beeswax,ミツロウ,0
Behentrimonium Chloride,ベヘントリモニウムクロリド,0
Behenyl Alcohol,ベヘニルアルコール,0
Bentonite,ベントナイト,0
Benzoic Acid,安息香酸,0
Benzyl Alcohol,ベンジルアルコール,0
Betaine,ベタイン,0
BHT,ＢＨＴ,0
Boron Nitride,窒化ホウ素,0
Brassica Campestris (Rapeseed) Seed Oil,アブラナ種子油,0
Butyl Methoxydibenzoylmethane,ｔ－ブチルメトキシジベンゾイルメタン,0
Butylene Glycol,ＢＧ,0
Butylparaben,ブチルパラベン,0
Butyrospermum Parkii (Shea) Butter,シア脂,0
C12-15 Alkyl Benzoate,安息香酸アルキル（Ｃ１２－１５）,0
C13-15 Alkane,（Ｃ１３－１５）アルカン,0
C9-12 Alkane,（Ｃ９－１２）アルカン,0
Caffeine,カフェイン,0
Calcium Aluminum Borosilicate,ホウケイ酸（Ｃａ／Ａｌ）,0
Calcium Sodium Borosilicate,ホウケイ酸（Ｃａ／Ｎａ）,0
Calendula Officinalis Flower Extract,トウキンセンカ花エキス,0
Camellia Sinensis Leaf Extract,チャ葉エキス,0
Caprylhydroxamic Acid,カプリルヒドロキサム酸,0
Caprylic/Capric Triglyceride,トリ（カプリル酸／カプリン酸）グリセリル,0
Caprylyl Glycol,カプリリルグリコール,0
Carbomer,カルボマー,0
Carmine,カルミン,0
Carthamus Tinctorius (Safflower) Seed Oil,サフラワー油,0
Castor Oil/IPDI Copolymer,（ヒマシ油／ＩＰＤＩ）コポリマー,0
Cellulose,セルロース,0
Cellulose Acetate,酢酸セルロース,0
Cellulose Acetate Butyrate,（酢酸／酪酸）セルロース,0
Cellulose Gum,セルロースガム,0
Centella Asiatica Extract,ツボクサエキス,0
Ceramide AP,セラミドＡＰ,0
Ceramide NG,セラミドＮＧ,0
Ceramide NP,セラミドＮＰ,0
Cetearyl Alcohol,セテアリルアルコール,0
Ceteth-20,セテス－２０,0
Cetyl Alcohol,セタノール,0
Cetyl Ethylhexanoate,エチルヘキサン酸セチル,0
Cetyl Palmitate,パルミチン酸セチル,0
Chamomilla Recutita (Matricaria) Flower Extract,カミツレ花エキス,0
Charcoal,炭,0
Chlorella Vulgaris Extract,クロレラエキス,0
Chlorphenesin,クロルフェネシン,0
Cholesterol,コレステロール,0
CI 19140,黄４,1
CI 42090,青１,1
CI 73360,赤２２６,1
Citric Acid,クエン酸,0
Citrus Limon (Lemon) Fruit Extract,レモン果実エキス,0
Citrus Reticulata (Tangerine) Fruit Extract,マンダリンオレンジ果実エキス,0
Citrus Unshiu Pericarp Extract,ウンシュウミカン果皮エキス,0
Cocamide DEA,コカミドＤＥＡ,0
Cocamidopropyl Betaine,コカミドプロピルベタイン,0
Coco-Caprylate/Caprate,（カプリル酸／カプリン酸）ヤシアルキル,0
Coco-Glucoside,ヤシ油アルキルグルコシド,0
Coconut Oil,ヤシ油,0
Cocos Nucifera (Coconut) Oil,ヤシ油,0
Coffea Arabica (Coffee) Seed Oil,アラビアコーヒーノキ種子油,0
Coix Lacryma-Jobi Ma-yuen Seed Extract,ハトムギ種子エキス,0
Copernicia Cerifera (Carnauba) Wax,カルナウバロウ,0
Cucumis Sativus (Cucumber) Fruit Extract,キュウリ果実エキス,0
Cyclodextrin,シクロデキストリン,0
Cyclopentasiloxane,シクロペンタシロキサン,0
Decyl Glucoside,デシルグルコシド,0
Dehydroacetic Acid,デヒドロ酢酸,0
Dextrin,デキストリン,0
Dilinoleic Acid/Butanediol Copolymer,（ジリノール酸／ブタンジオール）コポリマー,0
Dimer Dilinoleyl Dimer Dilinoleate,ダイマージリノール酸ダイマージリノレイル,0
Dimethicone,ジメチコン,0
Dimethicone Crosspolymer,ジメチコンクロスポリマー,0
Dimethicone/Vinyl Dimethicone Crosspolymer,（ジメチコン／ビニルジメチコン）クロスポリマー,0
Dimethiconol,ジメチコノール,0
Dipropylene Glycol,ＤＰＧ,0
Disodium EDTA,ＥＤＴＡ－２Ｎａ,0
Disodium Phosphate,リン酸２Ｎａ,0
Equisetum Arvense Extract,スギナエキス,0
Ethylcellulose,エチルセルロース,0
Ethylene/Propylene Copolymer,（エチレン／プロピレン）コポリマー,0
Ethylhexyl Methoxycinnamate,メトキシケイヒ酸エチルヘキシル,0
Ethylhexyl Palmitate,パルミチン酸エチルヘキシル,0
Ethylhexylglycerin,エチルヘキシルグリセリン,0
Ethylparaben,エチルパラベン,0
Eugenia Caryophyllus (Clove) Flower Extract,チョウジエキス,0
Euphorbia Cerifera (Candelilla) Wax,キャンデリラロウ,0
Euphorbia Cerifera (Candelilla) Wax Extract,キャンデリラロウエキス,0
Ferric Ammonium Ferrocyanide,コンジョウ,1
Fucus Vesiculosus Extract,ヒバマタエキス,0
Glycerin,グリセリン,0
Glyceryl Caprylate,カプリル酸グリセリル,0
Glyceryl Oleate,オレイン酸グリセリル,0
Glyceryl Stearate,ステアリン酸グリセリル,0
Glyceryl Stearate SE,ステアリン酸グリセリル（ＳＥ）,0
Glycine,グリシン,0
Glycine Max (Soybean) Oil,ダイズ油,0
Glycine Max (Soybean) Seed Extract,ダイズ種子エキス,0
Glycine Soja (Soybean) Oil,ダイズ油,0
Glycol Distearate,ジステアリン酸グリコール,0
Glycyrrhiza Glabra (Licorice) Root Extract,カンゾウ根エキス,0
Guar Hydroxypropyltrimonium Chloride,グアーヒドロキシプロピルトリモニウムクロリド,0
Hamamelis Virginiana (Witch Hazel) Leaf Extract,ハマメリス葉エキス,0
Hedera Helix (Ivy) Leaf/Stem Extract,セイヨウキズタ葉／茎エキス,0
Helianthus Annuus (Sunflower) Seed Oil,ヒマワリ種子油,0
Honey Extract,ハチミツエキス,0
Humulus Lupulus (Hops) Extract,ホップエキス,0
Hydrated Silica,含水シリカ,0
Hydrogen Dimethicone,ハイドロゲンジメチコン,0
Hydrogenated Castor Oil,水添ヒマシ油,0
Hydrogenated Lecithin,水添レシチン,0
Hydrogenated Polydecene,水添ポリデセン,0
Hydrogenated Polyisobutene,水添ポリイソブテン,0
Hydrogenated Soybean Oil,水添ダイズ油,0
Hydrogenated Vegetable Oil,水添野菜油,0
Hydrolyzed Collagen,加水分解コラーゲン,0
Hydrolyzed Elastin,加水分解エラスチン,0
Hydrolyzed Keratin,加水分解ケラチン,0
Hydrolyzed Rice Protein,加水分解コメタンパク,0
Hydrolyzed Silk,加水分解シルク,0
Hydrolyzed Soy Protein,加水分解ダイズタンパク,0
Hydroxyethylcellulose,ヒドロキシエチルセルロース,0
Hydroxypropyl Methylcellulose,ヒドロキシプロピルメチルセルロース,0
Iron Oxides,酸化鉄,1
Isododecane,イソドデカン,0
Isopropyl Alcohol,イソプロパノール,0
Isopropyl Myristate,ミリスチン酸イソプロピル,0
Isostearic Acid,イソステアリン酸,0
Jojoba Esters,ホホバエステル,0
Jojoba Seed Oil,ホホバ種子油,0
Kaolin,カオリン,0
Lactic Acid,乳酸,0
Lactobacillus Ferment,乳酸桿菌発酵液,0
Lactose,乳糖,0
Lauryl Glucoside,ラウリルグルコシド,0
Lavandula Angustifolia (Lavender) Flower Extract,ラベンダー花エキス,0
Lecithin,レシチン,0
Leuconostoc Ferment Filtrate,レウコノストック培養液,0
Leuconostoc/Radish Root Ferment Filtrate,レウコノストック／ダイコン根発酵液,0
Lysolecithin,リゾレシチン,0
Macadamia Ternifolia Seed Oil,マカデミア種子油,0
Magnesium Ascorbyl Phosphate,リン酸アスコルビルＭｇ,0
Magnesium Stearate,ステアリン酸Ｍｇ,0
Maltodextrin,マルトデキストリン,0
Malus Domestica Fruit Extract,リンゴ果実エキス,0
Malva Sylvestris (Mallow) Flower Extract,ゼニアオイ花エキス,0
Mannitol,マンニトール,0
Methylparaben,メチルパラベン,0
Mica,マイカ,0
Microcrystalline Cellulose,結晶セルロース,0
Mineral Oil,ミネラルオイル,0
Morus Alba Root Bark Extract,マグワ根皮エキス,0
Niacinamide,ナイアシンアミド,0
Octyldodecanol,オクチルドデカノール,0
Oenothera Biennis (Evening Primrose) Oil,月見草油,0
Olea Europaea (Olive) Fruit Oil,オリーブ果実油,0
Olea Europaea (Olive) Leaf Extract,オリーブ葉エキス,0
Oleic Acid,オレイン酸,0
Olive Oil,オリーブ果実油,0
Oryza Sativa (Rice) Bran Extract,コメヌカエキス,0
Oryza Sativa (Rice) Bran Oil,コメヌカ油,0
Oryza Sativa (Rice) Bran Wax,コメヌカロウ,0
Oryza Sativa (Rice) Extract,コメエキス,0
Oryza Sativa (Rice) Lees Extract,酒粕エキス,0
Paeonia Lactiflora Root Extract,シャクヤク根エキス,0
Paeonia Suffruticosa Root Extract,ボタンエキス,0
Palmitic Acid,パルミチン酸,0
Panax Ginseng Root Extract,オタネニンジン根エキス,0
PEG-10 Dimethicone,ＰＥＧ－１０ジメチコン,0
PEG-40 Hydrogenated Castor Oil,ＰＥＧ－４０水添ヒマシ油,0
PEG-60 Hydrogenated Castor Oil,ＰＥＧ－６０水添ヒマシ油,0
Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,0
Pentylene Glycol,ペンチレングリコール,0
Perilla Ocymoides Leaf Extract,シソ葉エキス,0
Persea Gratissima (Avocado) Oil,アボカド油,0
Phenethyl Alcohol,フェネチルアルコール,0
Phenoxyethanol,フェノキシエタノール,0
Phenylpropanol,フェニルプロパノール,0
Phytic Acid,フィチン酸,0
Phytosterols,フィトステロールズ,0
Placental Extract,プラセンタエキス,0
Plankton Extract,プランクトンエキス,0
Polyglyceryl-10 Laurate,ラウリン酸ポリグリセリル－１０,0
Polyglyceryl-10 Oleate,オレイン酸ポリグリセリル－１０,0
Polyglyceryl-10 Stearate,ステアリン酸ポリグリセリル－１０,0
Polyglyceryl-3 Diisostearate,ジイソステアリン酸ポリグリセリル－３,0
Polyglyceryl-6 Polyricinoleate,ポリリシノレイン酸ポリグリセリル－６,0
Polyhydroxystearic Acid,ポリヒドロキシステアリン酸,0
Polymethylsilsesquioxane,ポリメチルシルセスキオキサン,0
Polyquaternium-10,ポリクオタニウム－１０,0
Polyquaternium-37,ポリクオタニウム－３７,0
Polyquaternium-7,ポリクオタニウム－７,0
Polysilicone-11,ポリシリコーン－１１,0
Polysorbate 20,ポリソルベート２０,0
Polysorbate 60,ポリソルベート６０,0
Polysorbate 80,ポリソルベート８０,0
Potassium Phosphate,リン酸Ｋ,0
Potassium Sorbate,ソルビン酸Ｋ,0
Proline,プロリン,0
Propanediol,プロパンジオール,0
Propylene Glycol,ＰＧ,0
Propylene Glycol Stearate,ステアリン酸ＰＧ,0
Propylparaben,プロピルパラベン,0
Prunus Amygdalus Dulcis (Sweet Almond) Oil,アーモンド油,0
Prunus Armeniaca (Apricot) Kernel Oil,アンズ核油,0
Prunus Persica (Peach) Leaf Extract,モモ葉エキス,0
PVP,ＰＶＰ,0
Rayon,レーヨン,0
Red 7,赤２０２,1
Retinol,レチノール,0
Retinyl Palmitate,パルミチン酸レチノール,0
Ricinus Communis (Castor) Seed Oil,ヒマシ油,0
Rosa Canina Fruit Oil,カニナバラ果実油,0
Rosmarinus Officinalis (Rosemary) Leaf Extract,ローズマリー葉エキス,0
Salicylic Acid,サリチル酸,0
Salvia Officinalis (Sage) Leaf Extract,セージ葉エキス,0
Scutellaria Baicalensis Root Extract,オウゴン根エキス,0
SD Alcohol 40-B,変性アルコール,0
Sea Water,海水,0
Silica,シリカ,0
Silica Dimethyl Silylate,ジメチルシリル化シリカ,0
Silver Oxide,酸化銀,0
Simethicone,シメチコン,0
Simmondsia Chinensis (Jojoba) Seed Oil,ホホバ種子油,0
Sodium Benzoate,安息香酸Ｎａ,0
Sodium Bicarbonate,炭酸水素Ｎａ,0
Sodium Chloride,塩化Ｎａ,0
Sodium Citrate,クエン酸Ｎａ,0
Sodium Cocoamphoacetate,ココアンホ酢酸Ｎａ,0
Sodium Cocoyl Isethionate,ココイルイセチオン酸Ｎａ,0
Sodium Dehydroacetate,デヒドロ酢酸Ｎａ,0
Sodium Hyaluronate,ヒアルロン酸Ｎａ,0
Sodium Hydroxide,水酸化Ｎａ,0
Sodium Laureth Sulfate,ラウレス硫酸Ｎａ,0
Sodium PCA,ＰＣＡ－Ｎａ,0
Sodium Phosphate,リン酸Ｎａ,0
Sodium Polyacrylate,ポリアクリル酸Ｎａ,0
Soluble Collagen,水溶性コラーゲン,0
Sophora Flavescens Root Extract,クララ根エキス,0
Sorbic Acid,ソルビン酸,0
Sorbitan Oleate,オレイン酸ソルビタン,0
Sorbitan Stearate,ステアリン酸ソルビタン,0
Sorbitol,ソルビトール,0
Soybean Peroxidase,ダイズペルオキシダーゼ,0
Squalane,スクワラン,0
Stearamidopropyl Dimethylamine,ステアラミドプロピルジメチルアミン,0
Steareth-20,ステアレス－２０,0
Stearic Acid,ステアリン酸,0
Steartrimonium Chloride,ステアルトリモニウムクロリド,0
Stearyl Alcohol,ステアリルアルコール,0
Styrene/Acrylates Copolymer,（スチレン／アクリレーツ）コポリマー,0
Sucrose,スクロース,0
Sunflower Seed Oil,ヒマワリ種子油,0
Superoxide Dismutase,スーパーオキシドジスムターゼ,0
Synthetic Fluorphlogopite,合成フルオロフロゴパイト,0
Synthetic Wax,合成ワックス,0
Talc,タルク,0
Tilia Cordata Flower Extract,フユボダイジュ花エキス,0
Tin Oxide,酸化スズ,0
Titanium Dioxide,酸化チタン,0
Tocopherol,トコフェロール,0
Tocopheryl Acetate,酢酸トコフェロール,0
Trehalose,トレハロース,0
Tricaprylin,トリカプリリン,0
Triethoxycaprylylsilane,トリエトキシカプリリルシラン,0
Triethyl Citrate,クエン酸トリエチル,0
Triethylhexanoin,トリエチルヘキサノイン,0
Trimethylsiloxysilicate,トリメチルシロキシケイ酸,0
Ubiquinone,ユビキノン,0
Ultramarines,グンジョウ,1
Undaria Pinnatifida Extract,ワカメエキス,0
Urea,尿素,0
Vitis Vinifera (Grape) Seed Oil,ブドウ種子油,0
Water,水,0
Xanthan Gum,キサンタンガム,0
Xylitol,キシリトール,0
Zinc Oxide,酸化亜鉛,0
